Grain	Lithology	LREE	Sr/Y	Age
GM13307i	ALK	7578.16	0.291	NA
GM13307c1	ALK	52586.34	0.032	NA
GM13307c2	ALK	68900.74	0.026	NA
GM13307c3	ALK	25972.03	0.065	NA
GM13333a	ALK	7289.81	0.346	NA
GM13335a	ALK	7996.56	0.269	NA
GM18585_2	ALK	7807.39	0.353	NA
GM18585_1	ALK	8327.02	0.346	NA
KH157a	ALK	26405.21	0.570	NA
KH155c	ALK	82282.6	0.829	NA
KH155a	ALK	76265.72	0.538	NA
KH155c	ALK	88124.98	0.256	NA
KH157f	ALK	74724.02	0.692	NA
GM18522_3e	ALK	75772.32	0.045	NA
GM18522_2g	ALK	97050.58	0.058	NA
ID3A1a	ALK	88111.79	17.202	NA
ID3A1c	ALK	81727.83	14.739	NA
ID3A4i	ALK	77948.59	11.017	NA
ID3A1a	ALK	86858.35	12.439	NA
ID3A1c	ALK	84353.61	14.168	NA
ID3A4g	ALK	92381	20.181	NA
ID3A1b	ALK	85677.95	14.783	NA
ID3A4b	ALK	90615.14	10.962	NA
ID3A4h	ALK	86506.14	14.585	NA
ID3A4a	ALK	75202.64	13.895	NA
ID3A1d	ALK	115612.8	27.740	NA
ID3A4f	ALK	86358.45	40.552	NA
ID3A4b	ALK	78518.19	17.024	NA
ID3A4g	ALK	87402.11	13.838	NA
ID93ab1	ALK	10819	0.247	NA
ID93ab2	ALK	12380.27	0.192	NA
ID93c	ALK	20330	0.103	NA
ID921a1	ALK	21942.61	0.108	NA
ID921a2	ALK	23390.54	0.201	NA
ID921a2	ALK	24352.93	0.127	NA
ID922b	ALK	21977.36	0.225	NA
ID922c	ALK	21831.33	0.153	NA
P-1-51a	ALK	67230.33	0.014	NA
P-1-51i	ALK	73460.31	0.013	NA
P-1-51e	ALK	74999.51	0.014	NA
P-1-531a	ALK	68361.29	0.017	NA
P-1-531e	ALK	66878.03	0.020	NA
P-1-531f	ALK	74815.14	0.013	NA
87SMR63-1	ALK	14168.33681	6.707	NA
87SMR63-2	ALK	9712.825811	8.583	NA
SMR63-4	ALK	9854.945033	8.732	NA
SMR63-5a	ALK	11268.14497	8.047	NA
SMR63-5b	ALK	12112.08566	8.302	NA
SMR63-6	ALK	10610.96937	9.014	NA
SMR63-7	ALK	10262.99439	8.796	NA
SMR63-8	ALK	9989.247026	8.385	NA
SMR63-9	ALK	9105.978862	10.772	NA
SMR63-10a	ALK	8950.843871	10.118	NA
SMR63-10b	ALK	10420.9672	8.577	NA
SMR63-11	ALK	8355.116957	10.658	NA
SMR63-12	ALK	9301.550617	9.915	NA
SMR63-13	ALK	10006.27486	8.646	NA
SMR63-14	ALK	11372.70396	10.064	NA
SMR63-15	ALK	8689.990179	9.790	NA
SMR63-16a	ALK	8483.635147	10.073	NA
SMR63-16b	ALK	10351.78625	8.344	NA
SMR63-18	ALK	13202.31576	7.732	NA
SMR63-19	ALK	9579.157112	8.661	NA
SMR63-20	ALK	8795.083779	18.484	NA
87SMR69-1	ALK	16737.22563	8.097	NA
87SMR69-2	ALK	13677.91982	7.941	NA
87SMR69-3	ALK	20254.81386	11.219	NA
87SMR69-4	ALK	16029.07693	9.734	NA
87SMR69-5	ALK	20748.52589	8.345	NA
87SMR69-6	ALK	19127.93223	6.516	NA
87SMR69-7	ALK	23552.65963	5.739	NA
87SMR69-8	ALK	13795.69028	10.712	NA
87SMR69-9	ALK	21164.03733	6.518	NA
87SMR69-10	ALK	20776.31385	11.207	NA
87SMR69-11	ALK	14942.00632	10.254	NA
87SMR69-12	ALK	16717.07393	8.202	NA
87SMR69-13	ALK	21207.97116	6.790	NA
87SMR69-15	ALK	22726.90005	5.700	NA
87SMR69-16	ALK	20001.16078	7.652	NA
87SMR69-17	ALK	22680.63982	6.121	NA
87SMR69-18	ALK	18780.00576	9.202	NA
87SMR69-19	ALK	3858.73248	14.746	NA
87SMR69-20	ALK	20339.48547	6.889	NA
87SMR69-3a	ALK	11911.8946	17.748	NA
87SMR69-4a	ALK	16354.67594	9.118	NA
87SMR5-2a	ALK	14317.14931	5.318	NA
87SMR5-3a	ALK	12456.20222	7.031	NA
87SMR5-6a	ALK	17406.48302	5.453	NA
87SMR5-1	ALK	22175.45948	4.156	NA
87SMR5-2	ALK	16970.55559	5.406	NA
87SMR5-3	ALK	11050.96366	7.397	NA
87SMR5-4	ALK	20339.64945	4.538	NA
87SMR5-5	ALK	14692.85394	7.333	NA
87SMR5-6	ALK	18312.61917	6.010	NA
87SMR5-7	ALK	12312.71869	8.055	NA
87SMR5-8	ALK	18015.90622	4.918	NA
87SMR5-9	ALK	10553.98528	13.836	NA
87SMR5-10	ALK	13417.84626	7.318	NA
87SMR5-11	ALK	17712.1687	5.835	NA
87SMR5-12	ALK	11157.35517	6.290	NA
87SMR5-13	ALK	17636.00432	5.246	NA
87SMR5-14	ALK	17740.80659	4.962	NA
87SMR5-15	ALK	19530.84195	5.049	NA
87SMR5-16	ALK	15534.84748	6.809	NA
87SMR5-17	ALK	17043.1153	6.005	NA
87SMR5-19	ALK	19073.91124	5.102	NA
87SMR10-9a	ALK	8866.713792	12.897	NA
87SMR10-12a	ALK	4125.450529	19.281	NA
87SMR10-14a	ALK	11461.77143	3.339	NA
87SMR10-7	ALK	11898.8272	4.906	NA
87SMR10-6	ALK	13416.56117	9.551	NA
87SMR10-5	ALK	6256.563575	11.569	NA
87SMR10-9	ALK	11045.25378	15.297	NA
87SMR10-13	ALK	13298.55459	7.182	NA
87SMR10-14	ALK	15377.17873	3.866	NA
87SMR10-17	ALK	10202.9803	7.628	NA
87SMR10-19	ALK	8104.449659	18.395	NA
87SMR10-24	ALK	11126.19222	5.625	NA
87SMR48-1a	ALK	19318.64159	3.476	NA
87SMR48-2a	ALK	19935.46009	3.566	NA
87SMR48-3a	ALK	21152.76475	3.305	NA
87SMR48-3	ALK	18219.76754	3.880	NA
87SMR48-1	ALK	19121.25976	3.981	NA
87SMR48-2	ALK	22256.69318	3.603	NA
87SMR48-5	ALK	19391.31852	4.554	NA
87SMR48-6	ALK	21766.7623	3.664	NA
87SMR48-7	ALK	16930.82918	5.005	NA
87SMR48-8	ALK	16690.395	4.773	NA
87SMR48-9	ALK	25428.47774	3.629	NA
87SMR48-10	ALK	18715.9307	3.670	NA
87SMR48-11	ALK	17917.42384	4.690	NA
87SMR48-14	ALK	19460.58694	3.729	NA
87SMR48-17	ALK	14351.01835	4.328	NA
87SMR48-20	ALK	24833.45457	3.653	NA
PegmatiteMedian	HM	1814	0.028	NA
Pegmatite1stQuartile	HM	1348	0.018	NA
Pegmatite3rdQuartile	HM	2140	0.026	NA
TCH0011	HM	1098.1	0.100	NA
TCH0012	HM	2647.9	0.161	NA
TCH0013	HM	721.3	0.130	NA
TCH0014	HM	1651.2	0.149	NA
TCH0015	HM	2626.7	0.108	NA
TCH0016	HM	1253.9	0.164	NA
TCH0017	HM	440.26	0.033	NA
TCH0018	HM	1661.8	0.135	NA
TCH0019	HM	1640.7	0.156	NA
TCH00110	HM	590.35	0.134	NA
TCH00111	HM	2905.1	0.145	NA
TCH00112	HM	1509.8	0.058	NA
TCH00113	HM	1534.3	0.127	NA
TCH00114	HM	1586.3	0.090	NA
TCH00115	HM	977.4	0.170	NA
TCH00116	HM	965.1	0.123	NA
TCH00117	HM	1350.1	0.128	NA
TCH00118	HM	655.52	0.145	NA
TCH00119	HM	849.7	0.124	NA
TCH00120	HM	860.8	0.166	NA
TCH00121	HM	740.4	0.146	NA
TCH00122	HM	954	0.167	NA
TCH00123	HM	1341.5	0.131	NA
TCH00124	HM	1348.2	0.124	NA
TCH00125	HM	1076	0.156	NA
TCH00126	HM	1802	0.127	NA
TCH00127	HM	806.8	0.164	NA
TCH00128	HM	918.9	0.144	NA
TCH00129	HM	1025.4	0.185	NA
TCH00130	HM	1241	0.184	NA
TCH00131	HM	1025.9	0.137	NA
TCH00132	HM	1311.4	0.177	NA
TCH00133	HM	1461.2	0.173	NA
TCH00134	HM	538.51	0.111	NA
TCH0031	HM	2837.6	0.137	NA
TCH0032	HM	2110.1	0.125	NA
TCH0033	HM	1257.8	0.156	NA
TCH0034	HM	907.2	0.115	NA
TCH0035	HM	2645.5	0.130	NA
TCH0036	HM	1639.8	0.149	NA
TCH0037	HM	1662.7	0.154	NA
TCH0038	HM	2869.6	0.173	NA
TCH0039	HM	900.54	0.136	NA
TCH00310	HM	1668.6	0.139	NA
TCH00311	HM	1456.9	0.120	NA
TCH00312	HM	519.74	0.150	NA
TCH00313	HM	733.81	0.154	NA
TCH00314	HM	1461.3	0.050	NA
TCH00315	HM	547.31	0.136	NA
TCH00316	HM	2541	0.155	NA
TCH00317	HM	1414.2	0.159	NA
TCH00318	HM	1683.1	0.137	NA
TCH00319	HM	1820.9	0.072	NA
TCH00320	HM	2717.7	0.123	NA
TCH00321	HM	2194.5	0.150	NA
TCH00322	HM	1059	0.048	NA
TCH00323	HM	2066.2	0.139	NA
TCH00324	HM	2382.6	0.109	NA
TCH00325	HM	911.59	0.179	NA
TCH00326	HM	2534.5	0.152	NA
TCH0071	HM	789.5	0.280	NA
TCH0072	HM	916.4	0.184	NA
TCH0073	HM	2011.7	0.014	NA
TCH0074	HM	1847	0.225	NA
TCH0075	HM	702.94	0.332	NA
TCH0076	HM	594.85	0.305	NA
