"Grain","PredictionFit_new_data","Sample_Group","Age"
"23WC07ap-001","LM","Group 1",5671.316135
"23WC07ap-002","LM","Group 1",5667.416513
"23WC07ap-003","LM","Group 1",7202.497695
"23WC07ap-004","LM","Group 1",3060.946133
"23WC07ap-005","IM","Group 1",1228.217335
"23WC07ap-007","IM","Group 1",2303.773411
"23WC07ap-008","LM","Group 1",5601.707582
"23WC07ap-010","IM","Group 1",638.4131826
"23WC07ap-011","LM","Group 1",6121.367188
"23WC07ap-012","LM","Group 1",4572.780717
"23WC07ap-013","ALK","Group 1",624.845518
"23WC07ap-014","LM","Group 1",18213.55604
"23WC07ap-016","LM","Group 1",16188.66606
"23WC07ap-017","LM","Group 1",2335.902065
"23WC07ap-018","LM","Group 1",8822.974559
"23WC07ap-019","LM","Group 1",6549.756373
"23WC07ap-021","IM","Group 1",1425.854646
"23WC07ap-022","LM","Group 1",4649.338368
"23WC07ap-023","LM","Group 1",11066.35206
"23WC07ap-024","LM","Group 1",9423.614502
"23WC07ap-026","LM","Group 1",7625.279467
"23WC07ap-027","LM","Group 1",5510.439439
"23WC07ap-029","LM","Group 1",28703.21854
"23WC07ap-030","LM","Group 1",17396.33353
"23WC07ap-031","LM","Group 1",9263.217922
"23WC07ap-032","LM","Group 1",8939.983701
"23WC07ap-033","LM","Group 1",4295.079187
"23WC07ap-034","LM","Group 1",8843.707112
"23WC07ap-035","IM","Group 1",818.4863816
"23WC07ap-037","LM","Group 1",12067.34052
"23WC08ap-001","IM","Group 2",951.9144859
"23WC08ap-004","IM","Group 2",1194.045442
"23WC08ap-005","IM","Group 2",979.7633512
"23WC08ap-006","IM","Group 2",902.135638
"23WC08ap-008","IM","Group 2",2062.000338
"23WC08ap-010","IM","Group 2",1150.808921
"23WC08ap-012","IM","Group 2",985.1051996
"23WC08ap-013","IM","Group 2",1153.451828
"23WC08ap-014","LM","Group 2",3346.393787
"23WC08ap-015","HM","Group 2",1901.720318
"23WC08ap-018","IM","Group 2",1008.032833
"23WC08ap-022","IM","Group 2",770.3141184
"23WC08ap-023","IM","Group 2",1038.308732
"23WC08ap-024","IM","Group 2",394.5663691
"23WC08ap-025","IM","Group 2",979.1868457
"23WC08ap-026","IM","Group 2",2023.879048
"23WC08ap-028","IM","Group 2",1523.522737
"23WC08ap-029","LM","Group 2",3631.9500629999998
"23WC08ap-030","LM","Group 2",425.370551
"23WC08ap-032","IM","Group 2",775.1554606
"23WC08ap-034","IM","Group 2",728.0070576
"23WC08ap-037","IM","Group 2",544.2283198
"23WC08ap-038","HM","Group 2",2092.121727
"23WC08ap-039","IM","Group 2",883.9098505
"23WC08ap-041","IM","Group 2",923.4011834
"23WC08ap-043","IM","Group 2",1182.471912
"23WC08ap-044","IM","Group 2",748.3764134
"23WC08ap-045","IM","Group 2",801.4142536
"23WC08ap-046","IM","Group 2",961.499737
