Grain	Lithology	LREE	Sr/Y	Age
23WC07ap-001	Unknown	0.976331553	17.7967948	5671.316135
23WC07ap-002	Unknown	0.689393467	22.92601486	5667.416513
23WC07ap-003	Unknown	0.834239311	41.05815671	7202.497695
23WC07ap-004	Unknown	4.815952515	4.451095545	3060.946133
23WC07ap-005	Unknown	3159.357577	1.336396223	1228.217335
23WC07ap-007	Unknown	2147.56485	3.170608399	2303.773411
23WC07ap-008	Unknown	0.881517151	22.83203453	5601.707582
23WC07ap-010	Unknown	2589.359247	1.439786331	638.4131826
23WC07ap-011	Unknown	1.739604635	10.31239491	6121.367188
23WC07ap-012	Unknown	80.35250911	13.59320581	4572.780717
23WC07ap-013	Unknown	26768.68629	0.053471971	624.845518
23WC07ap-014	Unknown	0.894049265	10.54450015	18213.55604
23WC07ap-016	Unknown	38.23674414	6.520465029	16188.66606
23WC07ap-017	Unknown	4.892646057	4.951232376	2335.902065
23WC07ap-018	Unknown	1.786772041	9.118114797	8822.974559
23WC07ap-019	Unknown	5.874547822	15.53207399	6549.756373
23WC07ap-021	Unknown	6183.533882	0.150260781	1425.854646
23WC07ap-022	Unknown	4.456371114	14.29780136	4649.338368
23WC07ap-023	Unknown	0.427932118	21.75875359	11066.35206
23WC07ap-024	Unknown	0.788222122	36.63285211	9423.614502
23WC07ap-026	Unknown	0.805710077	29.46051873	7625.279467
23WC07ap-027	Unknown	6.953049027	37.54895169	5510.439439
23WC07ap-029	Unknown	0.807104668	20.0471152	28703.21854
23WC07ap-030	Unknown	16.39762873	9.856751689	17396.33353
23WC07ap-031	Unknown	1.160351045	11.61898614	9263.217922
23WC07ap-032	Unknown	22.76624445	11.63400538	8939.983701
23WC07ap-033	Unknown	12.77597931	3.435987572	4295.079187
23WC07ap-034	Unknown	0.557016489	18.07544281	8843.707112
23WC07ap-035	Unknown	2180.439072	3.605147244	818.4863816
23WC07ap-037	Unknown	1.028654822	19.38655038	12067.34052
23WC08ap-001	Unknown	2698.278628	1.03120855	951.9144859
23WC08ap-004	Unknown	2839.735842	3.472062781	1194.045442
23WC08ap-005	Unknown	3753.076232	0.425223282	979.7633512
23WC08ap-006	Unknown	2446.445297	3.147216507	902.135638
23WC08ap-008	Unknown	1939.183337	1.763722654	2062.000338
23WC08ap-010	Unknown	2719.009401	0.551643562	1150.808921
23WC08ap-012	Unknown	5591.742066	0.262204958	985.1051996
23WC08ap-013	Unknown	926.9170537	2.843251352	1153.451828
23WC08ap-014	Unknown	3.292923547	6.652305113	3346.393787
23WC08ap-015	Unknown	1128.371896	0.117979754	1901.720318
23WC08ap-018	Unknown	2391.211217	3.143386576	1008.032833
23WC08ap-022	Unknown	3675.845816	0.372538184	770.3141184
23WC08ap-023	Unknown	2132.674081	0.418588665	1038.308732
23WC08ap-024	Unknown	7307.697141	0.402064141	394.5663691
23WC08ap-025	Unknown	5183.841773	0.289558217	979.1868457
23WC08ap-026	Unknown	3504.646245	1.751965137	2023.879048
23WC08ap-028	Unknown	5406.285655	0.317265723	1523.522737
23WC08ap-029	Unknown	9.487613762	2.488921719	3631.950063
23WC08ap-030	Unknown	240.2821334	0.264161863	425.370551
23WC08ap-032	Unknown	2516.974211	0.946448047	775.1554606
23WC08ap-034	Unknown	2624.471667	3.017226729	728.0070576
23WC08ap-037	Unknown	7056.249792	0.158203196	544.2283198
23WC08ap-038	Unknown	653.2943589	0.055931664	2092.121727
23WC08ap-039	Unknown	6290.709121	0.208171595	883.9098505
23WC08ap-041	Unknown	2500.466757	3.09777752	923.4011834
23WC08ap-043	Unknown	2139.039352	3.024301583	1182.471912
23WC08ap-044	Unknown	2435.266168	3.280293217	748.3764134
23WC08ap-045	Unknown	2349.435179	3.38549807	801.4142536
23WC08ap-046	Unknown	5649.567271	0.277373591	961.499737
